frame,time_sec,left_ratio,right_ratio,avg_ratio,blink_event
250,8.342,0.24581,0.28905,0.26743,0
251,8.375,0.25733,0.29371,0.27552,0
252,8.408,0.25948,0.2956,0.27754,0
253,8.442,0.25743,0.28358,0.2705,0
254,8.475,0.24538,0.28533,0.26535,0
255,8.508,0.24794,0.28332,0.26563,0
256,8.542,0.24737,0.29013,0.26875,0
257,8.575,0.25503,0.29643,0.27573,0
258,8.609,0.24796,0.29281,0.27039,0
259,8.642,0.24915,0.29559,0.27237,0
260,8.675,0.24757,0.28905,0.26831,0
261,8.709,0.24802,0.29374,0.27088,0
262,8.742,0.25253,0.28982,0.27117,0
263,8.775,0.24836,0.28343,0.26589,0
264,8.809,0.24361,0.27291,0.25826,0
265,8.842,0.23263,0.27139,0.25201,0
266,8.876,0.23781,0.27618,0.257,0
267,8.909,0.23428,0.2811,0.25769,0
268,8.942,0.24323,0.28608,0.26466,0
269,8.976,0.23409,0.28304,0.25857,0
270,9.009,0.239,0.28303,0.26101,0
271,9.042,0.23952,0.28323,0.26138,0
272,9.076,0.24062,0.28827,0.26445,0
273,9.109,0.23313,0.29195,0.26254,0
274,9.142,0.23343,0.28714,0.26029,0
275,9.176,0.22552,0.28356,0.25454,0
276,9.209,0.22856,0.28975,0.25916,0
277,9.243,0.23359,0.28101,0.2573,0
278,9.276,0.22796,0.28147,0.25472,0
279,9.309,0.22925,0.2879,0.25857,0
280,9.343,0.22301,0.28467,0.25384,0
281,9.376,0.2156,0.28468,0.25014,0
282,9.409,0.23333,0.2884,0.26087,0
283,9.443,0.23839,0.28747,0.26293,0
284,9.476,0.23046,0.29121,0.26084,0
285,9.51,0.23753,0.29097,0.26425,0
286,9.543,0.22901,0.29326,0.26114,0
287,9.576,0.2336,0.29014,0.26187,0
288,9.61,0.23082,0.28827,0.25955,0
289,9.643,0.24139,0.28884,0.26511,0
290,9.676,0.24135,0.28312,0.26223,0
291,9.71,0.24108,0.28845,0.26476,0
292,9.743,0.24647,0.28014,0.26331,0
293,9.776,0.24582,0.28127,0.26355,0
294,9.81,0.24381,0.28379,0.2638,0
295,9.843,0.2394,0.28628,0.26284,0
296,9.877,0.2435,0.28676,0.26513,0
297,9.91,0.23869,0.28147,0.26008,0
298,9.943,0.23326,0.2851,0.25918,0
299,9.977,0.23976,0.28436,0.26206,0
300,10.01,0.23719,0.28842,0.26281,0
301,10.043,0.2263,0.28531,0.25581,0
302,10.077,0.23224,0.28822,0.26023,0
303,10.11,0.23223,0.2815,0.25686,0
304,10.143,0.22944,0.28968,0.25956,0
305,10.177,0.23793,0.28061,0.25927,0
306,10.21,0.23801,0.28041,0.25921,0
307,10.244,0.24023,0.27656,0.2584,0
308,10.277,0.23733,0.27117,0.25425,0
309,10.31,0.23878,0.27058,0.25468,0
310,10.344,0.24125,0.27945,0.26035,0
311,10.377,0.25001,0.28225,0.26613,0
312,10.41,0.25404,0.27291,0.26347,0
313,10.444,0.25572,0.27793,0.26683,0
314,10.477,0.24614,0.27237,0.25926,0
315,10.511,0.2434,0.27444,0.25892,0
316,10.544,0.24835,0.27946,0.26391,0
317,10.577,0.25138,0.27879,0.26509,0
318,10.611,0.253,0.27874,0.26587,0
319,10.644,0.24485,0.2817,0.26327,0
320,10.677,0.24021,0.27696,0.25858,0
321,10.711,0.24183,0.28125,0.26154,0
322,10.744,0.24807,0.28461,0.26634,0
